nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId,
AG-EUKP01,2__EUKPR001,,,UK Power Reserve Limited,S,TRUE,UKPR Mid,UKPR,0,20,C,0.0150195,0,0,1.1,1.1,FALSE,FALSE,_E,Midlands,,
AG-FEDF01,2__FLOND001,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate Northern 01,LENCO,0,0,C,-0.0095682,0,0,0,0,FALSE,FALSE,_F,_F - Northern,,
AG-FEDF02,2__FLOND002,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate Northern 02,LENCO,0,0,C,-0.0095682,0,0,0,0,FALSE,FALSE,_F,_F - Northern,,
AG-FFLX01,2__FFLEX001,,,Flexitricity Limited,S,TRUE,2__FFLEX001,FLEXTRCY,-3.103,49,C,-0.0095682,-0.046,-0.092,0.73,1.46,FALSE,FALSE,_F,_F - Northern,,
AG-FLIM01,2__FANGE001,,,Limejump Energy Limited,S,TRUE,2__FANGE001,ANGEL,-3.72,50,C,-0.0077506,-0.021,-0.024,0.28,0.325,FALSE,FALSE,_F,_F - Northern,,
AG-FLIM02,2__FANGE002,,,Limejump Energy Limited,S,TRUE,2__FANGE002,ANGEL,0,50,C,-0.0077506,0,0,11,11,FALSE,FALSE,_F,_F - Northern,,
AG-FLX00L,V__LFLEX001,,,Flexitricity Limited,V,TRUE,V__LFLEX001,FLEXTRCY,0,0,C,0.0153524,0,0,0,0,FALSE,FALSE,_L,South Western,,
AG-FLX01P,V__PFLEX001,,,Flexitricity Limited,V,TRUE,V__PFLEX001,FLEXTRCY,0,0,C,-0.0256767,0,0,0,0,FALSE,FALSE,_P,NORTH of SCOTLAND GSP,,
AG-FLX02N,V__NFLEX001,,,Flexitricity Limited,V,TRUE,V__NFLEX001,FLEXTRCY,0,0,C,-0.0122086,0,0,0,0,FALSE,FALSE,_N,SOUTH of SCOTLAND GSP,,
AG-FLX03H,V__HFLEX001,,,Flexitricity Limited,V,TRUE,V__HFLEX001,FLEXTRCY,0,0,C,0.0160206,0,0,0,0,FALSE,FALSE,_H,Southern,,
AG-FLX04A,V__AFLEX001,,,Flexitricity Limited,V,TRUE,V__AFLEX001,FLEXTRCY,0,0,C,0.0049362,0,0,0,0,FALSE,FALSE,_A,Eastern GSP Group,,
AG-FLX04E,V__EFLEX001,,,Flexitricity Limited,V,TRUE,V__EFLEX001,FLEXTRCY,0,0,P,0.0150195,0,0,0,0,TRUE,FALSE,_E,Midlands,,
AG-FLX06M,V__MFLEX001,,,Flexitricity Limited,V,TRUE,V__MFLEX001,FLEXTRCY,0,0,C,-0.0043908,0,0,0,0,FALSE,FALSE,_M,Yorkshire,,
AG-FLX07N,V__NFLEX002,,,Flexitricity Limited,V,TRUE,V__NFLEX002,FLEXTRCY,0,0,C,-0.0122086,0,0,0,0,FALSE,FALSE,_N,SOUTH of SCOTLAND GSP,,
AG-FLX09A,V__AFLEX002,,,Flexitricity Limited,V,TRUE,V__AFLEX002,FLEXTRCY,0,0,C,0.0049362,0,0,0,0,FALSE,FALSE,_A,Eastern GSP Group,,
AG-FLX0AA,V__AFLEX003,,,Flexitricity Limited,V,TRUE,V__AFLEX003,FLEXTRCY,0,0,C,0.0049362,0,0,0,0,FALSE,FALSE,_A,Eastern GSP Group,,
AG-FLX0BH,V__HFLEX002,,,Flexitricity Limited,V,TRUE,V__HFLEX002,FLEXTRCY,0,0,C,0.0160206,0,0,0,0,FALSE,FALSE,_H,Southern,,
