nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
MELKB-1,V__HHABI008,,,Habitat Energy Limited,V,true,Melksham,HABITAT,0.000,0.000,C,0.0199799,0.000,0.000,0.000,0.000,false,false,_H,Southern,
MID-ATL01,2__EIMPO000,,,SSE Energy Supply Limited,G,true,2__EIMPO000,SSE,-120.000,0.000,C,0.0151602,-76.824,-61.392,0.000,0.000,false,false,_E,Midlands,
MID-AXPO1,2__EAXPO000,,,AXPO UK LIMITED,G,false,2__EAXPO000,EGLUK,-23.000,35.000,C,0.0151602,-6.590,-2.560,10.028,3.896,false,false,_E,Midlands,
MID-BGS01,2__EBGAS000,,,British Gas Trading Ltd,G,true,2__EBGAS000,BRITGAS,-3.528,0.000,C,0.0151602,-1.794,-1.912,0.000,0.000,false,false,_E,Midlands,
MID-BIZ01,2__EBIZZ000,,,British Gas Trading Ltd,G,true,2__EBIZZ000,BRITGAS,-40.978,0.000,C,0.0151602,-18.981,-15.014,0.000,0.000,false,false,_E,Midlands,
MID-EAS01,2__EEELC000,,,E.ON Energy Solutions Limited,G,true,2__EEELC000,PGENERGY,0.000,0.000,C,0.0097251,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-EDF01,2__EEDFE000,,,EDF Energy Customers Limited,G,true,EDFE_MANWEB,LENCO,-200.000,0.000,C,0.0151602,-108.220,-106.780,0.000,0.000,false,false,_E,Midlands,
MID-EDR01,2__EEDIR000,,,British Gas Trading Ltd,G,true,2__EEDIR000,BRITGAS,0.000,0.000,C,0.0143610,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-ENR01,2__EENRD000,,,British Gas Trading Ltd,G,true,2__EENRD000,BRITGAS,-197.294,0.000,C,0.0151602,-108.314,-76.807,0.000,0.000,false,false,_E,Midlands,
MID-EON01,2__EEOND000,,,E.ON Next Energy Ltd,G,true,2__EEOND000,NITTWO01,-304.000,2.000,C,0.0151602,-159.782,-160.634,1.051,1.057,false,false,_E,Midlands,
MID-EST01,2__EEENG000,,,E.ON Energy Solutions Limited,G,true,2__EEENG000,PGENERGY,0.000,0.000,C,0.0126236,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-GDF01,2__ERWED000,,,ENGIE Power Limited,G,true,2__ERWED000,RWETDL,-136.000,20.000,C,0.0151602,-90.671,-56.250,13.334,8.272,false,false,_E,Midlands,
MID-HPW01,2__EHPOW000,,,Drax Energy Solutions Limited,G,true,2__EHPOW000,HAVEN,-251.859,19.600,C,0.0151602,-37.124,-27.780,2.889,2.162,false,false,_E,Midlands,
MID-HVN01,2__EHAVE000,,,Drax Energy Solutions Limited,G,true,2__EHAVE000,HAVEN,0.000,0.000,C,0.0151602,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-INE01,2__EINDE000,,,npower limited,G,true,INDE MIDLANDS,NEEB,-8.220,0.000,C,0.0134244,-2.160,-1.504,0.000,0.000,false,false,_E,Midlands,
MID-LON01,2__ELOND000,,,EDF Energy Customers Limited,G,true,LE Default BMUid MIDE,LENCO,-340.000,0.000,C,0.0151602,-193.494,-134.912,0.000,0.000,false,false,_E,Midlands,
MID-MEC01,2__ENUCE000,,,NDA,G,false,2__ENUCE000,MAGNOX,0.000,0.000,C,0.0151602,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-MID01,2__EMIDE000,,,Npower Limited,G,true,NPEC Midlands Area MIDE,NPOWER01,-46.940,0.000,C,0.0134244,-27.080,-28.295,0.000,0.000,false,false,_E,Midlands,
MID-MNW01,2__EMANW000,,,SP Energy Retail Ltd,G,false,2__EMANW000,SPSUP01,-1.000,0.000,C,0.0151602,-0.527,-0.534,0.000,0.000,false,false,_E,Midlands,
MID-NEE01,2__ENEEB000,,,npower limited,G,true,2__ENEEB000,NEEB,-27.220,0.000,C,0.0134244,-17.407,-16.574,0.000,0.000,false,false,_E,Midlands,
MID-NPE01,2__ENATP000,,,Npower Commercial Gas Limited,G,true,NPEC Midlands Area NATP,NPOWER02,-274.000,2.000,C,0.0151602,-170.866,-119.080,1.247,0.869,false,false,_E,Midlands,
MID-NWP01,2__ENORW000,,,E.ON Energy Solutions Limited,G,true,2__ENORW000,PGENERGY,0.000,0.000,C,0.0119732,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-OCT01,2__EMRCY000,,,Octopus Energy Limited,G,true,2__EMRCY000,MERCURY,-375.600,0.000,C,0.0151602,-184.157,-192.457,0.000,0.000,false,false,_E,Midlands,
MID-OGA01,2__EOGAS000,,,British Gas Trading Ltd,G,true,2__EOGAS000,BRITGAS,-0.008,0.000,C,0.0151602,-0.004,-0.003,0.000,0.000,false,false,_E,Midlands,
MID-OVO01,2__EOVOE000,,,OVO Electricity Ltd,G,false,2__EOVOE000,OVOE,-163.000,6.802,C,0.0151602,-79.740,-85.542,3.328,3.570,false,false,_E,Midlands,
MID-PGE01,2__EEMEB000,,,E.ON Energy Solutions Limited,G,true,2__EEMEB000,PGENERGY,0.000,0.000,C,0.0151602,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-PGU01,2__EPGEN000,,,E.ON UK plc,G,true,2__EPGEN000,POWERGEN,0.000,0.000,C,0.0151602,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
