nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
SEE-OCT01,2__JMRCY000,,,Octopus Energy Limited,G,TRUE,2__JMRCY000,MERCURY,-580.55,19.6,C,0.0136162,-294.165,-304.382,9.931,10.276,FALSE,FALSE,_J,South Eastern,
AG-GSMA01,2__GSMAE001,,,Smartestenergy Limited,S,TRUE,2__GSMAE001,SMARTEST,0,19.402,C,0.0039537,0,0,4.074,4.074,FALSE,FALSE,_G,North Western,
ANSUW-1,T_ANSUW-1,48W00000ANSUW-1E,WIND,Statkraft Markets Gmbh,T,TRUE,An Suidhe 1,STATKRA1,-0.12,19.36,P,-0.0560366,-0.048,-0.048,7.744,7.744,TRUE,FALSE,,,
JAMBB-2,E_JAMBB-2,,OTHER,Tesla Motors Limited,E,TRUE,Jamesfield 2 Battery Storage,TESLA,-19.314,19,P,-0.0560366,-7.726,-7.726,7.6,7.6,TRUE,FALSE,_P,NORTH of SCOTLAND GSP,
SWDNB-1,E_SWDNB-1,,,Conrad Energy (Trading) Ltd,E,TRUE,Swindon,CONRAD,-19,19,C,0.0225389,-7.6,-7.6,7.6,7.6,TRUE,FALSE,_H,Southern,
KHLLW-1,E_KHLLW-1,48W00000KHLLW-1Q,,Octopus Energy Limited,E,FALSE,Kirk Hill WF,MERCURY,0,18.8,C,-0.0377779,0,0,1.604,1.604,FALSE,FALSE,_N,SOUTH of SCOTLAND GSP,
TRLGW-1,T_TRLGW-1,,WIND,Smartestenergy Limited,T,TRUE,T_TRLGW-1,SMARTEST,0,18.742,C,-0.0377779,0,0,7.497,7.497,TRUE,FALSE,,,
RATSGT-4,T_RATSGT-4,48W0000RATSGT-4R,OCGT,Uniper UK Limited,T,TRUE,T_RATSGT-4,EECL,0,18.504,P,0.0149883,0,0,7.402,7.402,TRUE,FALSE,,,
AG-ESTK03,2__ESTAT003,48W000AG-ESTK034,,Statkraft Markets Gmbh,S,TRUE,STAT_E4,STATKRA1,-2,18,C,0.0217983,-0.814,-0.682,7.328,6.136,FALSE,FALSE,_E,Midlands,
RATSGT-2,T_RATSGT-2,48W0000RATSGT-2V,OCGT,Uniper UK Limited,T,TRUE,T_RATSGT-2,EECL,0,18,P,0.0149883,0,0,7.2,7.2,TRUE,FALSE,,,
TULWW-1,E_TULWW-1,48W00000TULWW-1U,WIND,Eneco Energy Trade,E,TRUE,Tullo Windfarm,ENECOUK,-9.538,17,P,-0.0560366,-3.815,-3.815,6.8,6.8,TRUE,FALSE,_P,NORTH of SCOTLAND GSP,
FINL-1,T_FINL-1,48W000000FINL-1U,NPSHYD,SSE Generation Ltd,T,TRUE,Finlarig,SSEGEN,-0.1,16.802,P,-0.0560366,-0.04,-0.04,6.721,6.721,TRUE,FALSE,,,
AG-GSTK09,2__GSTAT009,,,Statkraft Markets Gmbh,S,TRUE,STAT_G10,STATKRA1,-16.299,16.407,C,0.0039537,-6.161,-5.247,6.202,5.281,FALSE,FALSE,_G,North Western,
AG-ASTK08,2__ASTAT008,,,Statkraft Markets Gmbh,S,TRUE,STAT_A9,STATKRA1,-13.914,16,C,0.0083715,-5.378,-4.679,6.184,5.381,FALSE,FALSE,_A,Eastern GSP Group,
AG-BSTK03,2__BSTAT003,,,Statkraft Markets Gmbh,S,TRUE,STAT_B4,STATKRA1,0,16,C,0.0149883,0,0,0.328,0.328,FALSE,FALSE,_B,East Midlands,
AG-DSTK04,2__DSTAT004,,,Statkraft Markets Gmbh,S,TRUE,STAT_D5,STATKRA1,0,16,C,0.01133,0,0,0.168,0.168,FALSE,FALSE,_D,Merseyside and North Wales,
AG-DSTK05,2__DSTAT005,,,Statkraft Markets Gmbh,S,TRUE,STAT_D6,STATKRA1,0,16,C,0.01133,0,0,3.36,3.36,FALSE,FALSE,_D,Merseyside and North Wales,
AG-GSTK10,2__GSTAT010,,,Statkraft Markets Gmbh,S,TRUE,STAT_G11,STATKRA1,0,16,C,0.0039537,0,0,3.36,3.36,FALSE,FALSE,_G,North Western,
AG-GSTK12,2__GSTAT012,48W000AG-GSTK12Q,,Statkraft Markets Gmbh,S,TRUE,STAT_G13,STATKRA1,0,16,C,0.0039537,0,0,3.36,3.36,FALSE,FALSE,_G,North Western,
AG-GSTK15,2__GSTAT015,,,Statkraft Markets Gmbh,S,TRUE,STAT_G16,STATKRA1,0,16,C,0.0039537,0,0,3.36,3.36,FALSE,FALSE,_G,North Western,
AG-HSTK05,2__HSTAT005,,,Statkraft Markets Gmbh,S,TRUE,STAT_H6,STATKRA1,0,16,C,0.0225389,0,0,3.36,3.36,FALSE,FALSE,_H,Southern,
AG-HSTK06,2__HSTAT006,,,Statkraft Markets Gmbh,S,TRUE,STAT_H7,STATKRA1,0,16,C,0.0225389,0,0,3.36,3.36,FALSE,FALSE,_H,Southern,
AG-KSTK02,2__KSTAT002,,,Statkraft Markets Gmbh,S,TRUE,STAT_K3,STATKRA1,0,16,C,0.0211515,0,0,3.36,3.36,FALSE,FALSE,_K,South Wales,
AG-KSTK03,2__KSTAT003,,,Statkraft Markets Gmbh,S,TRUE,STAT_K4,STATKRA1,0,16,C,0.0211515,0,0,3.36,3.36,FALSE,FALSE,_K,South Wales,
AG-KSTK04,2__KSTAT004,,,Statkraft Markets Gmbh,S,TRUE,STAT_K5,STATKRA1,0,16,C,0.0211515,0,0,3.36,3.36,FALSE,FALSE,_K,South Wales,
AG-KSTK05,2__KSTAT005,,,Statkraft Markets Gmbh,S,TRUE,STAT_K6,STATKRA1,-2,16,C,0.0211515,-0.841,-0.746,6.726,5.966,FALSE,FALSE,_K,South Wales,
AG-MSTK03,2__MSTAT003,,,Statkraft Markets Gmbh,S,TRUE,STAT_M4,STATKRA1,0,16,C,0.0044623,0,0,0.088,0.088,FALSE,FALSE,_M,Yorkshire,
AG-MSTK06,2__MSTAT006,,,Statkraft Markets Gmbh,S,TRUE,STAT_M7,STATKRA1,0,16,C,0.0044623,0,0,3.36,3.36,FALSE,FALSE,_M,Yorkshire,
AG-REC06B,2__BECOT003,,,ECOTRICITY LIMITED,S,FALSE,ECOT_VPP_11,RENC,0,16,C,0.0149883,0,0,3.534,3.534,FALSE,FALSE,_B,East Midlands,
BUXTB-1,2__GCMRO001,,,BGI Trading Limited,S,TRUE,2__GCMRO001,CAMARO,-16,16,C,0.0039537,-6.048,-5.15,6.048,5.15,FALSE,FALSE,_G,North Western,
MNW-ENR01,2__DENRD000,,,British Gas Trading Ltd,G,TRUE,2__DENRD000,BRITGAS,-817.881,16,C,0.01133,-452.452,-347.109,8.851,6.79,FALSE,FALSE,_D,Merseyside and North Wales,
NWP-ENR01,2__GENRD000,,,British Gas Trading Ltd,G,TRUE,2__GENRD000,BRITGAS,-185.491,16,C,0.0039537,-100.202,-73.25,8.643,6.318,FALSE,FALSE,_G,North Western,
AG-BEDF03,2__BLOND003,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate E Mids 03,LENCO,0,15.861,C,0.0149883,0,0,3.331,3.331,FALSE,FALSE,_B,East Midlands,
SOLUU-1,E_SOLUTIA,,,UK Power Reserve Limited,E,TRUE,Solutia Power Station,UKPR,0,15.8,C,0.0211515,0,0,6.32,6.32,TRUE,FALSE,_K,South Wales,
AG-HSMA01,2__HSMAE001,,,Smartestenergy Limited,S,TRUE,2__HSMAE001,SMARTEST,0,15.748,C,0.0225389,0,0,3.307,3.307,FALSE,FALSE,_H,Southern,
AG-MSMA02,2__MSMAE002,,,Smartestenergy Limited,S,TRUE,2__MSMAE002,SMARTEST,0,15.72,C,0.0044623,0,0,3.301,3.301,FALSE,FALSE,_M,Yorkshire,
ABERU-1,E_ABERDARE,,,UK Power Reserve Limited,E,TRUE,Aberdare Power Station,UKPR,0,15.4,C,0.0211515,0,0,6.16,6.16,TRUE,FALSE,_K,South Wales,
LCKLB-1,2__LRWED001,,,ENGIE Power Limited,S,TRUE,2__LRWED001,RWETDL,-15,15.3,C,0.024847,-6,-6,6.12,6.12,TRUE,FALSE,_L,South Western,
AG-GSTK14,2__GSTAT014,,,Statkraft Markets Gmbh,S,TRUE,STAT_G15,STATKRA1,0,15,C,0.0039537,0,0,3.15,3.15,FALSE,FALSE,_G,North Western,
CLFLW-1,E_CLFLW-1,48W00000CLFLW-1O,WIND,SP Renewables (UK) Limited,E,TRUE,Clachan Flats,SPCRE01,-2,15,P,-0.0560366,-0.8,-0.8,6,6,TRUE,FALSE,_P,NORTH of SCOTLAND GSP,
LCHWT-1,E_LCHWT-1,,,Conrad Energy (Trading) Ltd,E,TRUE,Letchworth,CONRAD,-1,15,C,0.0083715,-0.4,-0.4,6,6,TRUE,FALSE,_A,Eastern GSP Group,
PLYRK-1,E_PLYRK-1,,,Conrad Energy (Trading) Ltd,E,FALSE,Plymouth Rock,CONRAD,-1,15,C,0.024847,-0.05,-0.05,0.749,0.749,FALSE,FALSE,_L,South Western,
TLYMW-1,E_TLYMW-1,48W00000TLYMW-1S,WIND,ECOTRICITY LIMITED,E,TRUE,Tullymurdoch Wind Farm,RENC,0,14.36,C,-0.0560366,0,0,5.744,5.744,TRUE,FALSE,_P,NORTH of SCOTLAND GSP,
SWA-LON01,2__KLOND000,,,EDF Energy Customers Limited,G,TRUE,LE Default BMUid SWAE,LENCO,-220,14.059,C,0.0211515,-124.982,-91.278,7.987,5.833,FALSE,FALSE,_K,South Wales,
AG-DSTK02,2__DSTAT002,,,Statkraft Markets Gmbh,S,TRUE,STAT_D3,STATKRA1,-2,14,C,0.01133,-0.029,-0.015,0.2,0.106,FALSE,FALSE,_D,Merseyside and North Wales,
AG-DSTK06,2__DSTAT006,,,Statkraft Markets Gmbh,S,TRUE,STAT_D7,STATKRA1,0,14,C,0.01133,0,0,2.94,2.94,FALSE,FALSE,_D,Merseyside and North Wales,
