"421291, 326955"
"407114, 189633"
"404920, 101836"
"274224, 45194"
"342598, 462146"
"632877, 144096"
"493475, 217559"
"208657, 66512"
"493192, 217705"
"485830, 96047"
"530597, 347613"
"596876, 195875"
"371550, 195850"
"626488, 323770"
"509003, 130058"
"626626, 322780"
"432815, 133266"
"517748, 117195"
"334870, 204817"
"608480, 137870"
"383857, 158625"
"243136, 336998"
"375173, 404114"
"413029, 179126"
"625975, 323016"
"625975, 323016"
"625975, 323016"
"586894, 165757"
"568931, 193607"
"490675, 101234"
"282388, 178878"
"453432, 367916"
"321840, 721031"
"472777, 138856"
"538755, 286122"
"527862, 284726"
"624152, 306192"
"354534, 184909"
"0, 0"
"444576, 310822"
"191629, 52065"
"0, 0"
"489440, 102825"
"0, 0"
"0, 0"
"350024, 187852"
"0, 0"
"434525, 317774"
"535377, 132854"
"332877, 144342"
"382296, 448048"
"554339, 106829"
"0, 0"
"277876, 190467"
"535667, 242584"
"301300, 525369"
"558400, 187089"
"494872, 331696"
"478672, 284948"
"535667, 242584"
"277876, 190467"
"331664, 154677"
"331664, 154677"
"0, 0"
"360460, 180792"
"0, 0"
"169400, 525454"
"348519, 423631"
"409432, 339052"
"332623, 152727"
"393986, 226037"
"346363, 459484"
"350124, 439100"
"570621, 334187"
"380432, 254242"
"328619, 697504"
"524112, 202677"
"575536, 142994"
"433420, 492119"
"111262, 571958"
"260884, 195188"
"345599, 288062"
"366792, 292516"
"501492, 172752"
"307796, 188016"
"202672, 60536"
"331810, 334117"
"439302, 482532"
"433439, 512522"
"338850, 431150"
"413720, 181837"
"446625, 109005"
"201930, 55161"
"437351, 348648"
"0, 0"
"301000, 532000"
"134798, 521384"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"41015, 531174"
"272590, 710500"
"57145, 558200"
"69602, 524593"
"201980, 557960"
"336250, 652850"
"54566, 520549"
"31711, 543769"
"29021, 542409"
"383719, 667227"
"523270, 264130"
"614550, 216860"
"357655, 815170"
"478500, 427500"
"457887, 275532"
"295390, 199853"
"340519, 615032"
"382155, 852949"
"334250, 966250"
"257500, 813500"
"532679, 403330"
"69602, 524593"
"96550, 571846"
"286500, 834500"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"352414, 377661"
"565166, 178798"
"524944, 320245"
"0, 0"
"461755, 190325"
"544055, 323522"
"544125, 323559"
"238063, 62770"
"488029, 342114"
"547655, 274082"
"644496, 288255"
"177412, 42176"
"511550, 168450"
"202931, 74850"
"548450, 180950"
"181946, 59506"
"501944.099999999, 136562"
"479632, 348905"
"316188, 129704"
"445171, 100816"
"551488, 271214"
"235435, 99648"
"284552, 108297"
"232612, 103213"
"289684, 114161"
"252617, 210675"
"245478, 205296"
"206175, 68428"
"215569, 57824"
"634574, 166813"
"199608, 203981"
"250572, 140713"
"413600, 235700"
