companyName,siteName,technology,type,chp,primaryFuel,secondaryFuel,installedCapacity,gridConnectionType,country,region,postcode,osReference,Easting,Northing,yearCommissioned,lat,lon,relevantBMU1,relevantBMU2,relevantBMU3,relevantBMU4,relevantBMU5,relevantBMU6
EDF Energy,Fallago Rig,Wind,Onshore,No,Wind,,144,HV,Scotland,Scotland,TD36NW,,357000.0,660000.0,2013,55.83130491,-2.68803206,,,,,,
Greencoat Capital,Kildrummy,Wind,Onshore,No,Wind,,18.4,LV,Scotland,Scotland,,,357655.0,815170.0,2013,57.22528325,-2.7029346,,,,,,
SSE Group,Spurness Wind Farm II,Wind,Onshore,No,Wind,,10,LV,Scotland,Scotland,,HY606356,360531.0,1033828.0,2012,59.18928988,-2.69252249,,,,,,
RES Group,Glens of Foudland,Wind,Onshore,No,Wind,,26,LV,Scotland,Scotland,,,361496.0,837303.0,2009,57.4244249,-2.6427882,,,,,,
Falck Renewables SpA,Boyndie,Wind,Onshore,No,Wind,,16.3,LV,Scotland,Scotland,,NJ613641,364000.0,862000.0,2006,57.64645709,-2.60476044,,,,,,
Fred Olsen Renewables,Crystal Rig II,Wind,Onshore,No,Wind,,138,HV,Scotland,Scotland,,,367000.0,667500.0,2003,55.8994773,-2.5293173,,,,,,
Fred Olsen Renewables,Crystal Rig,Wind,Onshore,No,Wind,,62.5,LV,Scotland,Scotland,,,368000.0,667000.0,2003,55.89505277,-2.51326682,,,,,,
Fred Olsen Renewables,Crystal Rig III,Wind,Onshore,No,Wind,,13.8,HV,Scotland,Scotland,,,368562.0,672486.0,2016,55.94437752,-2.504921,,,,,,
Fred Olsen Renewables,Mid Hill,Wind,Onshore,No,Wind,,75.9,LV,Scotland,Scotland,,,370540.0,786500.0,2013,56.96876183,-2.48616933,,,,,,
Venitent Energy Services,Gordonstown Hill,Wind,Onshore,No,Wind,,12.5,LV,Scotland,Scotland,AB538LH,,371136.0,841396.0,2013,57.46190585,-2.48276411,,,,,,
RES Group,Black Hill Wind Farm,Wind,Onshore,No,Wind,,28.6,LV,Scotland,Scotland,,NT730555,373000.0,656300.0,2007,55.79922498,-2.43224999,,,,,,
ESB,Carrington Power,Fossil Fuel,CCGT,No,Natural Gas,,910,HV,England,North West,M314AY,,373287.0,393037.0,2016,53.43344854,-2.40353795,,,,,,
Eneco Wind UK,Twinshiels,Wind,Onshore,No,Wind,,25,LV,Scotland,Scotland,,NO757723,375955.0,771728.0,2014,56.83637826,-2.395705,,,,,,
Cubico Sustainable Investments,Penmanshiel ,Wind,Onshore,No,Wind,,28.7,LV,Scotland,Scotland,TD113RP,,380006.0,667129.0,2016,55.89686253,-2.32130336,,,,,,
RES Group,Meikle Carewe Wind Farm (GB),Wind,Onshore,No,Wind,,10.2,LV,Scotland,Scotland,AB393QH,,383200.0,792000.0,2013,57.01880367,-2.27832027,,,,,,
Greencoat Capital,Drone Hill,Wind,Onshore,No,Wind,,28.6,LV,Scotland,Scotland,,,383719.0,667227.0,2012,55.89788408,-2.26193527,,,,,,
Eneco Wind UK,Tullo,Wind,Onshore,No,Wind,,17.5,LV,Scotland,Scotland,,NO757723,387283.0,785873.0,2010,56.96389535,-2.21076584,,,,,,
